E_true,E_pred_direct_energy,Error_direct_energy,|Error_direct_energy|,E_pred_scaled_ratio,Error_scaled_ratio,|Error_scaled_ratio|,E_pred_log_scaled_ratio,Error_log_scaled_ratio,|Error_log_scaled_ratio|
243.61046,250.37839,6.767929,6.767929,245.5502,1.939743,1.939743,244.89615,1.2856903,1.2856903
58.240814,61.033245,2.7924309,2.7924309,58.858845,0.61803055,0.61803055,58.778053,0.5372391,0.5372391
26.129885,24.640554,-1.4893303,1.4893303,26.591953,0.46206856,0.46206856,26.737452,0.60756683,0.60756683
19.799856,17.937332,-1.862524,1.862524,20.205748,0.40589142,0.40589142,20.004562,0.20470619,0.20470619
128.77579,127.69837,-1.0774155,1.0774155,130.04076,1.2649689,1.2649689,130.00687,1.2310791,1.2310791
290.33203,291.05438,0.7223511,0.7223511,293.4364,3.10437,3.10437,293.7669,3.4348755,3.4348755
325.62753,325.75427,0.1267395,0.1267395,328.88162,3.2540894,3.2540894,328.71478,3.0872498,3.0872498
272.11377,268.84183,-3.2719421,3.2719421,274.15317,2.0393982,2.0393982,273.83813,1.7243652,1.7243652
210.66032,219.30623,8.645905,8.645905,212.9388,2.278473,2.278473,212.82156,2.1612396,2.1612396
313.29172,313.59787,0.30615234,0.30615234,316.0559,2.7641907,2.7641907,315.27597,1.9842529,1.9842529
193.43216,199.77577,6.3436127,6.3436127,195.03032,1.5981598,1.5981598,194.67683,1.2446747,1.2446747
109.86653,109.13455,-0.73197937,0.73197937,112.60076,2.73423,2.73423,112.35889,2.4923553,2.4923553
89.06257,88.7247,-0.33786774,0.33786774,89.93454,0.87197113,0.87197113,89.91739,0.85482025,0.85482025
236.27756,237.30356,1.026001,1.026001,238.51717,2.2396088,2.2396088,238.83203,2.5544739,2.5544739
120.66697,120.13967,-0.527298,0.527298,121.960106,1.2931366,1.2931366,122.16513,1.4981613,1.4981613
178.22006,179.6752,1.4551392,1.4551392,182.21964,3.9995728,3.9995728,182.19534,3.9752808,3.9752808
71.25747,72.64378,1.3863144,1.3863144,71.97756,0.7200928,0.7200928,71.82268,0.56520844,0.56520844
349.40622,341.16147,-8.244751,8.244751,353.05118,3.6449585,3.6449585,352.29547,2.8892517,2.8892517
91.113,90.137886,-0.9751129,0.9751129,92.04218,0.92918396,0.92918396,92.12203,1.0090332,1.0090332
258.09668,250.16226,-7.9344177,7.9344177,260.45993,2.3632507,2.3632507,260.25397,2.1572876,2.1572876
345.9136,343.38177,-2.5318298,2.5318298,347.82742,1.9138184,1.9138184,347.1289,1.2153015,1.2153015
176.5416,175.50015,-1.0414429,1.0414429,178.31425,1.7726593,1.7726593,177.98509,1.4434967,1.4434967
162.95326,162.1141,-0.8391571,0.8391571,164.75746,1.8041992,1.8041992,164.43924,1.4859772,1.4859772
75.61096,78.02287,2.411911,2.411911,76.46886,0.8578949,0.8578949,76.72067,1.1097107,1.1097107
315.7416,323.04938,7.30777,7.30777,319.1539,3.4122925,3.4122925,319.2163,3.474701,3.474701
83.32062,86.596954,3.2763367,3.2763367,84.49116,1.1705399,1.1705399,84.59946,1.2788391,1.2788391
65.93956,64.326164,-1.6133957,1.6133957,66.54266,0.60310364,0.60310364,66.29301,0.35344696,0.35344696
276.45047,272.93463,-3.5158386,3.5158386,280.903,4.452545,4.452545,280.98276,4.5322876,4.5322876
116.178925,118.69883,2.519905,2.519905,117.52107,1.3421478,1.3421478,117.70986,1.5309372,1.5309372
57.775517,58.478287,0.70277023,0.70277023,58.266586,0.4910698,0.4910698,58.31754,0.5420227,0.5420227
12.900419,12.352977,-0.54744244,0.54744244,13.323891,0.42347145,0.42347145,13.477682,0.5772629,0.5772629
278.1051,276.85297,-1.2521362,1.2521362,280.5989,2.493805,2.493805,280.63474,2.5296326,2.5296326
290.69928,296.05063,5.351349,5.351349,295.09857,4.399292,4.399292,295.51605,4.8167725,4.8167725
10.435273,10.664677,0.2294035,0.2294035,11.098912,0.66363907,0.66363907,11.499609,1.0643358,1.0643358
249.88655,255.00673,5.120178,5.120178,252.07648,2.1899261,2.1899261,251.93448,2.0479279,2.0479279
159.8142,156.72527,-3.0889282,3.0889282,161.51852,1.7043304,1.7043304,161.0994,1.285202,1.285202
14.159506,12.9409895,-1.2185163,1.2185163,14.562613,0.4031067,0.4031067,14.700735,0.54122925,0.54122925
225.48543,218.5066,-6.978821,6.978821,227.99959,2.5141602,2.5141602,227.96892,2.48349,2.48349
134.28143,128.2751,-6.0063324,6.0063324,135.54996,1.2685242,1.2685242,135.31488,1.0334473,1.0334473
302.02893,297.80383,-4.2250977,4.2250977,305.3999,3.3709717,3.3709717,305.836,3.8070679,3.8070679
135.98642,133.64427,-2.3421478,2.3421478,137.30702,1.3206024,1.3206024,137.36404,1.3776245,1.3776245
216.93382,223.19812,6.2642975,6.2642975,219.59705,2.6632233,2.6632233,219.42538,2.491562,2.491562
155.8375,149.28113,-6.556366,6.556366,157.099,1.2615051,1.2615051,156.87117,1.0336761,1.0336761
90.467865,92.67792,2.2100525,2.2100525,91.33859,0.87072754,0.87072754,91.451096,0.9832306,0.9832306
219.9847,206.28522,-13.699478,13.699478,223.08691,3.1022186,3.1022186,223.94203,3.9573364,3.9573364
177.38931,173.52917,-3.860138,3.860138,179.29831,1.9089966,1.9089966,179.32726,1.9379425,1.9379425
182.46715,180.5356,-1.9315491,1.9315491,184.87102,2.4038696,2.4038696,184.84253,2.3753815,2.3753815
120.564926,117.94628,-2.6186447,2.6186447,121.85556,1.2906342,1.2906342,122.00577,1.4408417,1.4408417
336.5618,335.98694,-0.5748596,0.5748596,338.9756,2.4137878,2.4137878,338.63776,2.0759583,2.0759583
75.07567,77.76289,2.6872253,2.6872253,76.04778,0.97211456,0.97211456,75.76302,0.68735504,0.68735504
93.554695,89.936806,-3.6178894,3.6178894,94.40907,0.85437775,0.85437775,94.09127,0.5365753,0.5365753
142.87688,142.59544,-0.2814331,0.2814331,147.80801,4.931137,4.931137,148.3192,5.442322,5.442322
133.47113,134.27219,0.8010559,0.8010559,134.71533,1.2442017,1.2442017,134.87926,1.4081268,1.4081268
324.40622,324.76654,0.36032104,0.36032104,327.04297,2.6367493,2.6367493,326.93878,2.5325623,2.5325623
322.29163,318.69757,-3.5940552,3.5940552,325.84464,3.553009,3.553009,325.83105,3.5394287,3.5394287
315.30377,313.17307,-2.1307068,2.1307068,317.74387,2.440094,2.440094,316.95175,1.6479797,1.6479797
262.8594,258.5882,-4.2712097,4.2712097,265.6293,2.7698975,2.7698975,265.8308,2.971405,2.971405
234.3797,230.92523,-3.4544678,3.4544678,236.86714,2.487442,2.487442,237.10432,2.7246246,2.7246246
102.52423,100.8627,-1.6615295,1.6615295,103.51389,0.9896622,0.9896622,103.33067,0.80644226,0.80644226
211.73555,209.79427,-1.9412842,1.9412842,214.67531,2.9397583,2.9397583,214.40709,2.6715393,2.6715393
254.15717,252.32094,-1.8362274,1.8362274,257.95584,3.7986755,3.7986755,257.6834,3.526245,3.526245
175.35347,171.35042,-4.0030518,4.0030518,176.83305,1.4795837,1.4795837,176.03648,0.6830139,0.6830139
166.04686,167.14575,1.0988922,1.0988922,169.03932,2.9924622,2.9924622,168.68315,2.6362915,2.6362915
86.57423,87.129845,0.5556183,0.5556183,87.53324,0.9590149,0.9590149,87.71402,1.1397934,1.1397934
54.7539,55.717094,0.9631958,0.9631958,55.38609,0.6321907,0.6321907,55.48648,0.7325821,0.7325821
72.98264,72.101006,-0.8816376,0.8816376,73.86789,0.8852463,0.8852463,73.76437,0.78173065,0.78173065
188.09372,188.57234,0.47862244,0.47862244,190.25237,2.1586456,2.1586456,190.44513,2.35141,2.35141
291.4063,290.5211,-0.8852234,0.8852234,294.90842,3.5021057,3.5021057,295.219,3.812683,3.812683
28.046751,28.447147,0.40039635,0.40039635,28.4668,0.42004967,0.42004967,28.673992,0.62724113,0.62724113
73.082375,73.43657,0.35419464,0.35419464,74.20174,1.1193619,1.1193619,74.0099,0.9275284,0.9275284
265.75024,265.29266,-0.45758057,0.45758057,268.168,2.4177551,2.4177551,268.0781,2.3278503,2.3278503
28.691412,26.550867,-2.140545,2.140545,29.192884,0.5014725,0.5014725,29.268797,0.57738495,0.57738495
334.4036,331.74533,-2.6582642,2.6582642,337.46323,3.0596313,3.0596313,336.80508,2.4014893,2.4014893
69.45346,70.86182,1.4083557,1.4083557,70.34307,0.8896103,0.8896103,70.26068,0.80722046,0.80722046
217.52011,224.4144,6.894287,6.894287,219.29066,1.7705536,1.7705536,219.01859,1.4984741,1.4984741
218.93779,223.61082,4.6730347,4.6730347,220.67679,1.7389984,1.7389984,220.27052,1.3327332,1.3327332
59.122627,60.36258,1.2399521,1.2399521,60.123634,1.0010071,1.0010071,59.879833,0.75720596,0.75720596
97.76563,98.37425,0.6086197,0.6086197,98.467995,0.70236206,0.70236206,97.85267,0.08703613,0.08703613
18.862514,20.095463,1.2329483,1.2329483,19.322836,0.46032143,0.46032143,19.458584,0.59606934,0.59606934
200.36336,205.30746,4.944107,4.944107,202.23027,1.8669128,1.8669128,201.77316,1.4098053,1.4098053
152.361,148.61752,-3.7434692,3.7434692,153.93077,1.5697784,1.5697784,153.93709,1.5760956,1.5760956
311.32474,309.51764,-1.8070984,1.8070984,314.00974,2.6849976,2.6849976,313.87357,2.5488281,2.5488281
42.35353,39.28821,-3.065319,3.065319,42.879574,0.52604294,0.52604294,42.90244,0.54890823,0.54890823
150.63449,146.1773,-4.457184,4.457184,152.06195,1.4274597,1.4274597,151.85046,1.2159729,1.2159729
189.72844,182.86961,-6.8588257,6.8588257,191.91324,2.1847992,2.1847992,191.784,2.0555573,2.0555573
231.546,237.43811,5.892105,5.892105,233.38715,1.8411407,1.8411407,232.98349,1.4374847,1.4374847
60.557163,62.60631,2.0491486,2.0491486,61.123493,0.56632996,0.56632996,61.04524,0.48807526,0.48807526
92.63677,95.83079,3.1940155,3.1940155,93.818306,1.1815338,1.1815338,94.04221,1.4054413,1.4054413
295.74982,298.93216,3.1823425,3.1823425,298.4062,2.656372,2.656372,298.28473,2.534912,2.534912
326.53137,327.74402,1.2126465,1.2126465,330.42923,3.8978577,3.8978577,330.06097,3.529602,3.529602
64.75628,66.55275,1.7964706,1.7964706,65.39743,0.6411514,0.6411514,65.25841,0.5021286,0.5021286
306.2812,309.15738,2.8761902,2.8761902,309.67746,3.3962708,3.3962708,309.6659,3.3847046,3.3847046
