E_true,E_pred_direct_energy,Error_direct_energy,|Error_direct_energy|,E_pred_scaled_ratio,Error_scaled_ratio,|Error_scaled_ratio|,E_pred_log_scaled_ratio,Error_log_scaled_ratio,|Error_log_scaled_ratio|
243.61046,249.73215,6.121689,6.121689,6085544.5,6085301.0,6085301.0,6111462.0,6111218.5,6111218.5
58.240814,61.511063,3.2702484,3.2702484,357095.5,357037.25,357037.25,356601.34,356543.1,356543.1
26.129885,25.520727,-0.60915756,0.60915756,66182.445,66156.31,66156.31,65207.164,65181.035,65181.035
19.799856,18.362444,-1.4374123,1.4374123,36461.727,36441.926,36441.926,37007.03,36987.23,36987.23
128.77579,128.58397,-0.19181824,0.19181824,1654324.4,1654195.6,1654195.6,1666768.8,1666640.0,1666640.0
290.33203,292.0722,1.7401733,1.7401733,8480494.0,8480204.0,8480204.0,8442770.0,8442480.0,8442480.0
325.62753,326.43912,0.8115845,0.8115845,10628631.0,10628305.0,10628305.0,10611724.0,10611398.0,10611398.0
272.11377,269.17477,-2.9389954,2.9389954,7326530.5,7326258.5,7326258.5,7347179.0,7346907.0,7346907.0
210.66032,219.1217,8.46138,8.46138,4611429.0,4611218.5,4611218.5,4631893.5,4631683.0,4631683.0
313.29172,312.76242,-0.5292969,0.5292969,9801303.0,9800990.0,9800990.0,9788771.0,9788458.0,9788458.0
193.43216,200.12253,6.6903687,6.6903687,3890300.5,3890107.0,3890107.0,3864388.5,3864195.0,3864195.0
109.86653,107.4845,-2.3820343,2.3820343,1179576.9,1179467.0,1179467.0,1174684.0,1174574.1,1174574.1
89.06257,90.19444,1.1318741,1.1318741,803672.2,803583.1,803583.1,793485.06,793396.0,793396.0
236.27756,236.31299,0.03543091,0.03543091,5591022.0,5590785.5,5590785.5,5581373.5,5581137.0,5581137.0
120.66697,118.57082,-2.0961456,2.0961456,1434403.8,1434283.1,1434283.1,1438144.6,1438024.0,1438024.0
178.22006,182.50394,4.2838745,4.2838745,3258658.5,3258480.2,3258480.2,3253755.2,3253577.0,3253577.0
71.25747,73.243965,1.986496,1.986496,521920.6,521849.34,521849.34,513100.25,513029.0,513029.0
